aceite de oliva virgen extra allegro 1 l.,4.95 €/l
alubias cocidas la muralla 400 g.,1.60 €/kg
arroz basmati para microondas carrefour pack de 2 ud. de 125 g.,4.36 €/kg
atun claro en aceite de oliva carrefour pack de 8 latas de 52 g.,13.25 €/kg
caldo casero de pollo gallina blanca sin gluten pack de 2 briks de 1 l.,1.78 €/l
cereales crujientes con chocolate muesli carrefour 750 g.,3.27 €/kg
espaguetis carrefour 500 g.,1.60 €/kg
garbanzos cocidos la muralla 400 g.,1.48 €/kg
huevo l suelo virgen del rosario 12 ud.,2.15 €/docena
leche desnatada carrefour brik 1 l.,0.68 €/l
maiz dulce carrefour pack de 3unidades de 140 g.,2.98 €/kg
nata para cocinar puleva pack de 3 unidades de 200 ml.,5.65 €/l
sazonador para fajitas suave old el paso 35 g.,37.43 €/kg
tomate frito helios sin gluten y sin lactosa pack de 2 tarros de 570 g.,2.45 €/kg
tomate triturado carrefour lata de 390 g.,1.33 €/kg
yogur griego natural carrefour extra pack de 6 unidades de 125 g.,1.60 €/kg
aguacate carrefour 500 g,3.98 €/kg
barra 100% integral 250 g,2.76 €/kg
cebolla carrefour 1 kg,1.79 €/kg
jamon cocido extra lonchas finas carrefour pack de 2 unidades de 200 g.,7.87 €/kg
longaniza fresca de pollo carrefour 400 g,2.30 €/ud
mini taquitos de jamon curado carrefour sin lactosa pack de 2 unidades de 75 g.,12.60 €/kg
patata de sanlucar de barrameda 1 kg aprox,1.89 €/kg
pechuga de pollo certificado entera carrefour 600 g aprox,8.79 €/kg
preparado de carne picada de vacuno carrefour 500 g,6.88 €/kg
queso havarti en lonchas carrefour 200 g.,8.65 €/kg
queso rallado mozzarella margui sin gluten 300 g.,6.30 €/kg
tomate rama carrefour 1 kg aprox,2.45 €/kg
