LUENGO alubia cocida frasco 400 gr,2.47 €/Kg.
BRILLANTE arroz basmati vaso 2 x 125 gr,4.60 €/Kg.
DIA MARI MARINERA atun claro en aceite de oliva pack 3 latas de 60 gr,14.39 €/Kg.
GALLINA BLANCA caldo de pollo 100% natural envase 2 x 1 lt,1.73 €/l.
DIA muesli extra caja 500 gr,3.10 €/Kg.
DIA AL DIANTE espagueti integral paquete 500 gr,2.26 €/Kg.
LA ASTURIANA garbanzos cocidos frasco 210 ml,3.02 €/Kg.
Huevos frescos categoria A clase L estuche 12 uds,0.18 €/ud.
DIA LACTEA leche desnatada envase 1 lt,0.67 €/l.
DIA VEGECAMPO maiz dulce pack 3 latas 140 gr,3.07 €/Kg.
DIA LACTEA nata liquida para cocinar 18% M.G. pack 3 unidades 200 ml,2.58 €/l.
SOLIS tomate frito envase 350 gr,2.26 €/Kg.
DIA VEGECAMPO tomate triturado lata 390 gr,1.38 €/Kg.
DIA FIDIAS yogur griego natural pack 6 unidades 125 gr,1.59 €/Kg.
Aguacate bandeja 3/4 piezas,3.09 €/Kg.
Barra de pan integral 100% 220 gr,2.50 €/Kg.
Cebolla dulce malla 1 Kg,1.39 €/Kg.
DIA NUESTRA ALACENA jamon cocido extra finas lonchas envase 2 x 225 gr,6.87 €/Kg.
SERRANO longaniza de pavo y pollo 320 gr,6.22 €/Kg.
NAVIDUL taquitos de jamon para cocinar envase 120 gr,16.67 €/Kg.
Patata de guarnicion malla 1 kg,0.99 €/Kg.
SELECCION DE DIA pechuga de pollo entera formato familiar bandeja (peso aprox. 1.9 Kg),6.55 €/Kg.
SELECCION DE DIA preparado de carne picada de vacuno bandeja 500 gr,7.58 €/Kg.
DIA SELECCION MUNDIAL queso havarti danes en lonchas envase 240 gr,9.79 €/Kg.
DIA LACTEA mozzarella rallada bolsa 200 gr,6.95 €/Kg.
Tomate en rama unidad (240 gr aprox.),2.29 €/Kg.
DIA ALMAZARA DEL OLIVAR aceite de oliva virgen extra botella 1 lt,4.75 €/l.
